icd_code	icd_version	long_title
06640	9	West Nile Fever, unspecified
06641	9	West Nile Fever with encephalitis
06642	9	West Nile Fever with other neurologic manifestation
0669	9	Arthropod-borne viral disease, unspecified
0700	9	Viral hepatitis A with hepatic coma
0701	9	Viral hepatitis A without mention of hepatic coma
07020	9	Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta
07022	9	Chronic viral hepatitis B with hepatic coma without hepatitis delta
07030	9	Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta
07031	9	Viral hepatitis B without mention of hepatic coma, acute or unspecified, with hepatitis delta
07032	9	Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta
07033	9	Chronic viral hepatitis B without mention of hepatic coma with hepatitis delta
07041	9	Acute hepatitis C with hepatic coma
07044	9	Chronic hepatitis C with hepatic coma
07051	9	Acute hepatitis C without mention of hepatic coma
07052	9	Hepatitis delta without mention of active hepatitis B disease or hepatic coma
07053	9	Hepatitis E without mention of hepatic coma
07054	9	Chronic hepatitis C without mention of hepatic coma
07059	9	Other specified viral hepatitis without mention of hepatic coma
07070	9	Unspecified viral hepatitis C without hepatic coma
07071	9	Unspecified viral hepatitis C with hepatic coma
0709	9	Unspecified viral hepatitis without mention of hepatic coma
07421	9	Coxsackie pericarditis
0748	9	Other specified diseases due to Coxsackie virus
075	9	Infectious mononucleosis
0774	9	Epidemic hemorrhagic conjunctivitis
0778	9	Other viral conjunctivitis
07798	9	Unspecified diseases of conjunctiva due to chlamydiae
07799	9	Unspecified diseases of conjunctiva due to viruses
0780	9	Molluscum contagiosum
07810	9	Viral warts, unspecified
07811	9	Condyloma acuminatum
07812	9	Plantar wart
07819	9	Other specified viral warts
0785	9	Cytomegaloviral disease
07881	9	Epidemic vertigo
07888	9	Other specified diseases due to chlamydiae
07889	9	Other specified diseases due to viruses
0790	9	Adenovirus infection in conditions classified elsewhere and of unspecified site
0793	9	Rhinovirus infection in conditions classified elsewhere and of unspecified site
0794	9	Human papillomavirus in conditions classified elsewhere and of unspecified site
07951	9	Human T-cell lymphotrophic virus, type I [HTLV-I]
07952	9	Human T-cell lymphotrophic virus, type II [HTLV-II]
07953	9	Human immunodeficiency virus, type 2 [HIV-2]
0796	9	Respiratory syncytial virus (RSV)
07981	9	Hantavirus infection
07983	9	Parvovirus B19
07988	9	Other specified chlamydial infection
07989	9	Other specified viral infection
07998	9	Unspecified chlamydial infection
07999	9	Unspecified viral infection
0820	9	Spotted fevers
08240	9	Ehrlichiosis, unspecified
08249	9	Other ehrlichiosis
0830	9	Q fever
0839	9	Rickettsiosis, unspecified
0840	9	Falciparum malaria [malignant tertian]
0841	9	Vivax malaria [benign tertian]
0843	9	Ovale malaria
0844	9	Other malaria
0846	9	Malaria, unspecified
0849	9	Other pernicious complications of malaria
0859	9	Leishmaniasis, unspecified
0860	9	Chagas' disease with heart involvement
0862	9	Chagas' disease without mention of organ involvement
0879	9	Relapsing fever, unspecified
0880	9	Bartonellosis
08881	9	Lyme Disease
08882	9	Babesiosis
08889	9	Other specified arthropod-borne diseases, other
0909	9	Congenital syphilis, unspecified
0910	9	Genital syphilis (primary)
0912	9	Other primary syphilis
0913	9	Secondary syphilis of skin or mucous membranes
09150	9	Syphilitic uveitis, unspecified
09152	9	Syphilitic iridocyclitis (secondary)
0919	9	Unspecified secondary syphilis
0929	9	Early syphilis, latent, unspecified
0940	9	Tabes dorsalis
0941	9	General paresis
0942	9	Syphilitic meningitis
0943	9	Asymptomatic neurosyphilis
09482	9	Syphilitic parkinsonism
09484	9	Syphilitic optic atrophy
09489	9	Other specified neurosyphilis
0949	9	Neurosyphilis, unspecified
0953	9	Syphilis of liver
096	9	Late syphilis, latent
0971	9	Latent syphilis, unspecified
0979	9	Syphilis, unspecified
0980	9	Gonococcal infection (acute) of lower genitourinary tract
09837	9	Gonococcal salpingitis (chronic)
09850	9	Gonococcal arthritis
0986	9	Gonococcal infection of pharynx
0987	9	Gonococcal infection of anus and rectum
09886	9	Gonococcal peritonitis
0990	9	Chancroid
0991	9	Lymphogranuloma venereum
0993	9	Reiter's disease
09941	9	Other nongonococcal urethritis, chlamydia trachomatis
09950	9	Other venereal diseases due to chlamydia trachomatis, unspecified site
09952	9	Other venereal diseases due to chlamydia trachomatis, anus and rectum
09953	9	Other venereal diseases due to chlamydia trachomatis, lower genitourinary sites
09954	9	Other venereal diseases due to chlamydia trachomatis, other genitourinary sites
09955	9	Other venereal diseases due to chlamydia trachomatis, unspecified genitourinary site
1040	9	Nonvenereal endemic syphilis
1100	9	Dermatophytosis of scalp and beard
1101	9	Dermatophytosis of nail
1102	9	Dermatophytosis of hand
1103	9	Dermatophytosis of groin and perianal area
1104	9	Dermatophytosis of foot
1105	9	Dermatophytosis of the body
1108	9	Dermatophytosis of other specified sites
1109	9	Dermatophytosis of unspecified site
1110	9	Pityriasis versicolor
1118	9	Other specified dermatomycoses
1119	9	Dermatomycosis, unspecified
1120	9	Candidiasis of mouth
1121	9	Candidiasis of vulva and vagina
1122	9	Candidiasis of other urogenital sites
1123	9	Candidiasis of skin and nails
1124	9	Candidiasis of lung
1125	9	Disseminated candidiasis
11281	9	Candidal endocarditis
11283	9	Candidal meningitis
11284	9	Candidal esophagitis
11285	9	Candidal enteritis
11289	9	Other candidiasis of other specified sites
1129	9	Candidiasis of unspecified site
1140	9	Primary coccidioidomycosis (pulmonary)
1145	9	Pulmonary coccidioidomycosis, unspecified
1149	9	Coccidioidomycosis, unspecified
11505	9	Infection by Histoplasma capsulatum, pneumonia
11509	9	Infection by Histoplasma capsulatum, other
11590	9	Histoplasmosis, unspecified, without mention of manifestation
11599	9	Histoplasmosis, unspecified, other
1160	9	Blastomycosis
1171	9	Sporotrichosis
1173	9	Aspergillosis
1174	9	Mycotic mycetomas
1175	9	Cryptococcosis
1176	9	Allescheriosis [Petriellidosis]
1177	9	Zygomycosis [Phycomycosis or Mucormycosis]
1179	9	Other and unspecified mycoses
118	9	Opportunistic mycoses
1200	9	Schistosomiasis due to schistosoma haematobium
1202	9	Schistosomiasis due to schistosoma japonicum
1208	9	Other specified schistosomiasis
1209	9	Schistosomiasis, unspecified
1211	9	Clonorchiasis
1213	9	Fascioliasis
1220	9	Echinococcus granulosus infection of liver
1228	9	Echinococcosis, unspecified, of liver
1229	9	Echinococcosis, other and unspecified
1231	9	Cysticercosis
1251	9	Malayan filariasis
1254	9	Dipetalonemiasis
1269	9	Ancylostomiasis and necatoriasis, unspecified
1272	9	Strongyloidiasis
1273	9	Trichuriasis
129	9	Intestinal parasitism, unspecified
1300	9	Meningoencephalitis due to toxoplasmosis
1307	9	Toxoplasmosis of other specified sites
1308	9	Multisystemic disseminated toxoplasmosis
1309	9	Toxoplasmosis, unspecified
13100	9	Urogenital trichomoniasis, unspecified
13101	9	Trichomonal vulvovaginitis
13109	9	Other urogenital trichomoniasis
1318	9	Trichomoniasis of other specified sites
1319	9	Trichomoniasis, unspecified
1320	9	Pediculus capitis [head louse]
1321	9	Pediculus corporis [body louse]
1323	9	Mixed pediculosis infestation
1329	9	Pediculosis, unspecified
1330	9	Scabies
1340	9	Myiasis
1342	9	Hirudiniasis
1348	9	Other specified infestations
1349	9	Infestation, unspecified
135	9	Sarcoidosis
1361	9	Behcet's syndrome
13621	9	Specific infection due to acanthamoeba
1363	9	Pneumocystosis
1368	9	Other specified infectious and parasitic diseases
1369	9	Unspecified infectious and parasitic diseases
1370	9	Late effects of respiratory or unspecified tuberculosis
1373	9	Late effects of tuberculosis of bones and joints
138	9	Late effects of acute poliomyelitis
1390	9	Late effects of viral encephalitis
1398	9	Late effects of other and unspecified infectious and parasitic diseases
1400	9	Malignant neoplasm of upper lip, vermilion border
1401	9	Malignant neoplasm of lower lip, vermilion border
1404	9	Malignant neoplasm of lower lip, inner aspect
1409	9	Malignant neoplasm of lip, unspecified, vermilion border
1410	9	Malignant neoplasm of base of tongue
1411	9	Malignant neoplasm of dorsal surface of tongue
1412	9	Malignant neoplasm of tip and lateral border of tongue
1414	9	Malignant neoplasm of anterior two-thirds of tongue, part unspecified
1418	9	Malignant neoplasm of other sites of tongue
1419	9	Malignant neoplasm of tongue, unspecified
1420	9	Malignant neoplasm of parotid gland
1421	9	Malignant neoplasm of submandibular gland
1429	9	Malignant neoplasm of salivary gland, unspecified
1430	9	Malignant neoplasm of upper gum
1431	9	Malignant neoplasm of lower gum
1440	9	Malignant neoplasm of anterior portion of floor of mouth
1441	9	Malignant neoplasm of lateral portion of floor of mouth
1450	9	Malignant neoplasm of cheek mucosa
1451	9	Malignant neoplasm of vestibule of mouth
1452	9	Malignant neoplasm of hard palate
1453	9	Malignant neoplasm of soft palate
1455	9	Malignant neoplasm of palate, unspecified
1458	9	Malignant neoplasm of other specified parts of mouth
1459	9	Malignant neoplasm of mouth, unspecified
1460	9	Malignant neoplasm of tonsil
1461	9	Malignant neoplasm of tonsillar fossa
1468	9	Malignant neoplasm of other specified sites of oropharynx
1469	9	Malignant neoplasm of oropharynx, unspecified site
1471	9	Malignant neoplasm of posterior wall of nasopharynx
1478	9	Malignant neoplasm of other specified sites of nasopharynx
1479	9	Malignant neoplasm of nasopharynx, unspecified site
1481	9	Malignant neoplasm of pyriform sinus
1483	9	Malignant neoplasm of posterior hypopharyngeal wall
1488	9	Malignant neoplasm of other specified sites of hypopharynx
1489	9	Malignant neoplasm of hypopharynx, unspecified site
1490	9	Malignant neoplasm of pharynx, unspecified
1498	9	Malignant neoplasm of other sites within the lip and oral cavity
1500	9	Malignant neoplasm of cervical esophagus
1501	9	Malignant neoplasm of thoracic esophagus
1502	9	Malignant neoplasm of abdominal esophagus
1503	9	Malignant neoplasm of upper third of esophagus
1504	9	Malignant neoplasm of middle third of esophagus
1505	9	Malignant neoplasm of lower third of esophagus
1508	9	Malignant neoplasm of other specified part of esophagus
1509	9	Malignant neoplasm of esophagus, unspecified site
1510	9	Malignant neoplasm of cardia
1511	9	Malignant neoplasm of pylorus
1512	9	Malignant neoplasm of pyloric antrum
1513	9	Malignant neoplasm of fundus of stomach
1514	9	Malignant neoplasm of body of stomach
1515	9	Malignant neoplasm of lesser curvature of stomach, unspecified
1516	9	Malignant neoplasm of greater curvature of stomach, unspecified
1518	9	Malignant neoplasm of other specified sites of stomach
1519	9	Malignant neoplasm of stomach, unspecified site
1520	9	Malignant neoplasm of duodenum
1521	9	Malignant neoplasm of jejunum
1522	9	Malignant neoplasm of ileum
1528	9	Malignant neoplasm of other specified sites of small intestine
1529	9	Malignant neoplasm of small intestine, unspecified site
1530	9	Malignant neoplasm of hepatic flexure
1531	9	Malignant neoplasm of transverse colon
1532	9	Malignant neoplasm of descending colon
1533	9	Malignant neoplasm of sigmoid colon
1534	9	Malignant neoplasm of cecum
1535	9	Malignant neoplasm of appendix vermiformis
1536	9	Malignant neoplasm of ascending colon
1537	9	Malignant neoplasm of splenic flexure
1538	9	Malignant neoplasm of other specified sites of large intestine
1539	9	Malignant neoplasm of colon, unspecified site
1540	9	Malignant neoplasm of rectosigmoid junction
1541	9	Malignant neoplasm of rectum
1542	9	Malignant neoplasm of anal canal
1543	9	Malignant neoplasm of anus, unspecified site
1548	9	Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus
1550	9	Malignant neoplasm of liver, primary
1551	9	Malignant neoplasm of intrahepatic bile ducts
1552	9	Malignant neoplasm of liver, not specified as primary or secondary
1560	9	Malignant neoplasm of gallbladder
1561	9	Malignant neoplasm of extrahepatic bile ducts
1562	9	Malignant neoplasm of ampulla of vater
1568	9	Malignant neoplasm of other specified sites of gallbladder and extrahepatic bile ducts
1569	9	Malignant neoplasm of biliary tract, part unspecified site
1570	9	Malignant neoplasm of head of pancreas
1571	9	Malignant neoplasm of body of pancreas
1572	9	Malignant neoplasm of tail of pancreas
1573	9	Malignant neoplasm of pancreatic duct
1574	9	Malignant neoplasm of islets of langerhans
1578	9	Malignant neoplasm of other specified sites of pancreas
1579	9	Malignant neoplasm of pancreas, part unspecified
1580	9	Malignant neoplasm of retroperitoneum
1588	9	Malignant neoplasm of specified parts of peritoneum
1589	9	Malignant neoplasm of peritoneum, unspecified
1591	9	Malignant neoplasm of spleen, not elsewhere classified
1599	9	Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum
1600	9	Malignant neoplasm of nasal cavities
1602	9	Malignant neoplasm of maxillary sinus
1603	9	Malignant neoplasm of ethmoidal sinus
1608	9	Malignant neoplasm of other accessory sinuses
1609	9	Malignant neoplasm of accessory sinus, unspecified
1610	9	Malignant neoplasm of glottis
1611	9	Malignant neoplasm of supraglottis
1612	9	Malignant neoplasm of subglottis
1618	9	Malignant neoplasm of other specified sites of larynx
1619	9	Malignant neoplasm of larynx, unspecified
1620	9	Malignant neoplasm of trachea
1622	9	Malignant neoplasm of main bronchus
1623	9	Malignant neoplasm of upper lobe, bronchus or lung
1624	9	Malignant neoplasm of middle lobe, bronchus or lung
1625	9	Malignant neoplasm of lower lobe, bronchus or lung
1628	9	Malignant neoplasm of other parts of bronchus or lung
1629	9	Malignant neoplasm of bronchus and lung, unspecified
1630	9	Malignant neoplasm of parietal pleura
1631	9	Malignant neoplasm of visceral pleura
1638	9	Malignant neoplasm of other specified sites of pleura
1639	9	Malignant neoplasm of pleura, unspecified
1640	9	Malignant neoplasm of thymus
1641	9	Malignant neoplasm of heart
1642	9	Malignant neoplasm of anterior mediastinum
1648	9	Malignant neoplasm of other parts of mediastinum
1649	9	Malignant neoplasm of mediastinum, part unspecified
1700	9	Malignant neoplasm of bones of skull and face, except mandible
1701	9	Malignant neoplasm of mandible
1702	9	Malignant neoplasm of vertebral column, excluding sacrum and coccyx
1703	9	Malignant neoplasm of ribs, sternum, and clavicle
1704	9	Malignant neoplasm of scapula and long bones of upper limb
1706	9	Malignant neoplasm of pelvic bones, sacrum, and coccyx
1707	9	Malignant neoplasm of long bones of lower limb
1708	9	Malignant neoplasm of short bones of lower limb
1709	9	Malignant neoplasm of bone and articular cartilage, site unspecified
1710	9	Malignant neoplasm of connective and other soft tissue of head, face, and neck
1712	9	Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder
1713	9	Malignant neoplasm of connective and other soft tissue of lower limb, including hip
1714	9	Malignant neoplasm of connective and other soft tissue of thorax
1715	9	Malignant neoplasm of connective and other soft tissue of abdomen
1716	9	Malignant neoplasm of connective and other soft tissue of pelvis
1717	9	Malignant neoplasm of connective and other soft tissue of trunk, unspecified
1718	9	Malignant neoplasm of other specified sites of connective and other soft tissue
1719	9	Malignant neoplasm of connective and other soft tissue, site unspecified
1720	9	Malignant melanoma of skin of lip
1722	9	Malignant melanoma of skin of ear and external auditory canal
1723	9	Malignant melanoma of skin of other and unspecified parts of face
1724	9	Malignant melanoma of skin of scalp and neck
1725	9	Malignant melanoma of skin of trunk, except scrotum
1726	9	Malignant melanoma of skin of upper limb, including shoulder
1727	9	Malignant melanoma of skin of lower limb, including hip
1728	9	Malignant melanoma of other specified sites of skin
1729	9	Melanoma of skin, site unspecified
17301	9	Basal cell carcinoma of skin of lip
17321	9	Basal cell carcinoma of skin of ear and external auditory canal
17322	9	Squamous cell carcinoma of skin of ear and external auditory canal
17330	9	Unspecified malignant neoplasm of skin of other and unspecified parts of face
17331	9	Basal cell carcinoma of skin of other and unspecified parts of face
17332	9	Squamous cell carcinoma of skin of other and unspecified parts of face
17339	9	Other specified malignant neoplasm of skin of other and unspecified parts of face
17340	9	Unspecified malignant neoplasm of scalp and skin of neck
17341	9	Basal cell carcinoma of scalp and skin of neck
17342	9	Squamous cell carcinoma of scalp and skin of neck
17349	9	Other specified malignant neoplasm of scalp and skin of neck
17350	9	Unspecified malignant neoplasm of skin of trunk, except scrotum
17351	9	Basal cell carcinoma of skin of trunk, except scrotum
17352	9	Squamous cell carcinoma of skin of trunk, except scrotum
17359	9	Other specified malignant neoplasm of skin of trunk, except scrotum
17360	9	Unspecified malignant neoplasm of skin of upper limb, including shoulder
17361	9	Basal cell carcinoma of skin of upper limb, including shoulder
17362	9	Squamous cell carcinoma of skin of upper limb, including shoulder
17369	9	Other specified malignant neoplasm of skin of upper limb, including shoulder
17370	9	Unspecified malignant neoplasm of skin of lower limb, including hip
17371	9	Basal cell carcinoma of skin of lower limb, including hip
17372	9	Squamous cell carcinoma of skin of lower limb, including hip
17379	9	Other specified malignant neoplasm of skin of lower limb, including hip
